feedback,sentiment,nps,service_advisor_name,brand_name,branch,date,promoters,passive,detractor,category,topic
"Again, I have to mention the tyre pressure. This concerns me that your technicians cannot even get the tyre pressure correct. Each tyre was 6 Psi over inflated. This is a critical safety concern. 
Despite telling the service receptionist not to adjust my tyre pressures, this request was ignored. 
And despite me writing this in the feedback several times, nothing changes. Does anybody even actually read the feedback provided? ",negative,1,12127 Marshood TP,Nissan,NISSAN Service Mussafah,2023-01-27,0,0,1,,
"Excellent team and service provided to me, thanks NISSAN team and see you again ",positive,9,Mohammed Fathi Osman,Nissan,NISSAN Service Airport Road,2023-01-28,1,0,0,,
Thank you very much,positive,10,11437 Mohd Tareq,Nissan,NISSAN Service Mussafah,2023-01-28,1,0,0,,
Thanks you for Adnan,positive,10,1916 Adnan Aslam,Nissan,NISSAN Service Al Ain,2023-01-28,1,0,0,,
Ms. salwa & Ms .suha the are very expert and professional,positive,10,11474 Salwa Rboub,Infiniti,INFINITI Service Mussafah,2023-01-28,1,0,0,,
The service is perfect so far,positive,10,13037 Abuthahir T.S.,Nissan,NISSAN Service Mussafah,2023-01-28,1,0,0,,
"You must inspect the new car professionally and professionally before delivering it to the customer according to the standards of the car manufacturer and based on the international practices of car agencies inside and outside the country. 
I suggest implementing the policies and procedures of dealing with customer services in a more professional manner and raising the quality of customer service. 



",positive,0,11465 Mahmoud Wahhab,Infiniti,INFINITI Service Mussafah,2023-01-28,0,0,1,,
Mohamad Osman my Service Advisor was very good and helpfull,positive,8,Mohammed Fathi Osman,Nissan,NISSAN Service Airport Road,2023-01-28,0,1,0,,
Free Pick up and Drop Off,positive,10,Ronaldo Padernos,Nissan,NISSAN Service Airport Road,2023-01-28,1,0,0,,
"Every thing is good, but the service charges (prices) are incresed!",negative,10,Free.,Nissan,NISSAN Service Mussafah,2023-01-28,1,0,0,,
"Please look into your repair/labour and parts cost,it's extremely high.",negative,9,Nabeel Ambalavan,Nissan,NISSAN Service Airport Road,2023-01-28,1,0,0,,
"Mr. mahmoud was great and he took care of me after a real dissatisfaction with Ms.sara. 
Ms.sara was completely rude and not talking appropriately. Which was very bad experience. ",negative,3,11465 Mahmoud Wahhab,Infiniti,INFINITI Service Mussafah,2023-01-28,0,0,1,,
"Only the car oil has been changed, the car has not been inspected, and the car has not been cleaned or washed. I hope to get a second appointment to complete the missing procedures",negative,0,13031 Charbel Semaan,Nissan,NISSAN Service Al Ain,2023-01-28,0,0,1,,
"I informed the team about the water tank sound, the service advisor told me that the issue has been fixed, however i heard the same sound yesterday twice. 
I think they did not perform the work properly. 

I am informing the team about this sound in every service, and every time they told me it has been fixed but still no change ",negative,5,Harish Venugopalan,Nissan,NISSAN Service Airport Road,2023-01-28,0,0,1,,
"Automatic control of external lighting. Its working system is wrong (it works if the front light is turned off and when the front light is turned on, it does not work well. It stays on 24 hours). Please find a solution ",negative,10,1916 Adnan Aslam,Nissan,NISSAN Service Al Ain,2023-01-28,1,0,0,,
"Everything was okay üÜó What... Until you treat the employee
Thank God the service and the check was fast and excellent ",positive,10,1916 Adnan Aslam,Infiniti,INFINITI Service Al Ain,2023-01-30,1,0,0,,
I want to thanks Mohammed Mohsen in Al Ain Services,negative,10,11795 Mohamed Mohsen,Nissan,NISSAN Service Al Ain,2023-01-30,1,0,0,,
"A repeated incident of not optimizing tire pressure, even though it was explicitly requested and written on the service form",negative,10,Nabeel Ambalavan,Nissan,NISSAN Service Airport Road,2023-01-30,1,0,0,,
Car wash not perfect after service.,negative,6,11653 Mohd Noureldin,Nissan,NISSAN Service Beda Zayed,2023-01-30,0,0,1,,
"Prices is too expensive, also i don't feel that the agency is taking in consideration the loyalty of customers. I own the car for 7 years and all services i did it on agency but when i need to replace some consumables i receive spare part estimation for 30,000 aed.
I tried other agencies before and the gave me good discount on each service and spare parts as a loyal customer.",negative,5,Anandhakrishnan Nair,Nissan,NISSAN Service Airport Road,2023-01-30,0,0,1,,
"Yes , only my comment abut phone not reply, or delay to reply ",negative,10,11348 Khalil Rahman,Infiniti,INFINITI Service Mussafah,2023-01-30,1,0,0,,
"Very bad customer service, same problem in the car not fixed ",negative,0,1947 Aswad Karim,Nissan,NISSAN Service Al Ain,2023-01-30,0,0,1,,
"Service was for tyres, someone manipulate and disturb car electronics, windshield meter display disappeared, car light switch was off (it was on auto), still to check other parts.
Car tyre pressure not equal ",negative,7,Suha Ali,Infiniti,INFINITI Service Mussafah,2023-01-30,0,1,0,,
"Efficient service, completed in good time. Juan was very helpful, he even came out with me to the car to stamp my service book. Thank you. ",positive,10,11270 Juan Kasilag,Nissan,NISSAN Service Mussafah,2023-01-31,1,0,0,,
Thank you very much. Java‚Äôs was very helpful and he is great man,positive,10,Javad Dadkarim Amiri,Nissan,NISSAN Service Airport Road,2023-01-31,1,0,0,,
Thank you for your excellent service,positive,10,11795 Mohamed Mohsen,Nissan,NISSAN Service Al Ain,2023-01-31,1,0,0,,
Thay call me to recive my car at 3 but make me Waite to 5,negative,7,Nabeel Ambalavan,Nissan,NISSAN Service Airport Road,2023-01-31,0,1,0,,
The service is on standard do not think the is something lacking,negative,10,Vivian Rodricks,Renault,RENAULT Service Mussafah,2023-01-31,1,0,0,,
"I didn‚Äôt appreciate the delay that happened to pick up the car, I took an appointment at 3:00 PM the recovery driver called me at 12:30 PM asking to pick up the car, I said I am at work and I asked him to come at 3:00 PM, time went by and he decided to come at 4:15 PM, I called the service center and the lady said she will check and call me back, unfortunately I didn‚Äôt get a call back.",negative,6,Muhammad Habib,Nissan,NISSAN Service Airport Road,2023-01-31,0,0,1,,
I have no word but to thank Mahmoud my service advisor since we got the car he's helped me get the car serviced quickly overall he‚Äôs a wonderful Service Adviser,positive,10,11465 Mahmoud Wahhab,Infiniti,INFINITI Service Mussafah,2023-02-01,1,0,0,,
Thank you Mr. Khalil for the excellent assistance.,positive,10,11348 Khalil Rahman,Infiniti,INFINITI Service Mussafah,2023-02-01,1,0,0,,
Reduced the prices all will be great,positive,9,12127 Marshood TP,Nissan,NISSAN Service Mussafah,2023-02-01,1,0,0,,
You should have recovery service for car drop and pick up especially for customers who are in Dubai,negative,6,11348 Khalil Rahman,Infiniti,INFINITI Service Mussafah,2023-02-01,0,0,1,,
"Repair work that should have been done under warranty was delayed to 100k in order to make me pay. 
Will not buy an Infinity again. ",negative,1,11348 Khalil Rahman,Infiniti,INFINITI Service Mussafah,2023-02-01,0,0,1,,
"infiniti refuses to replace ruber bushes of my car and require to change full suspension without need. how can this be? also the battery sold from infinity as original lasted only 1,5 years which means this is not infiniti original battery",negative,2,11474 Salwa Rboub,Infiniti,INFINITI Service Mussafah,2023-02-01,0,0,1,,
"The services currently provided by your esteemed company are 100% excellent and all employees of the company deal in a sophisticated and respectful manner 
Please accept my sincere appreciation and respect  ",positive,10,Nabeel Ambalavan,Nissan,NISSAN Service Airport Road,2023-02-02,1,0,0,,
Thank you very much to all your staff,positive,10,Suha Ali,Nissan,NISSAN Service Mussafah,2023-02-02,1,0,0,,
Mr kalil very kind person and helpful. Thanks for your service,positive,6,11348 Khalil Rahman,Infiniti,INFINITI Service Mussafah,2023-02-02,0,0,1,,
Attention to the customer. In all respects. Especially Sister Neema. In the Al Najda branch. She cared about all the details. Its answers to all inquiries are quick.,positive,10,Suha Ali,Nissan,NISSAN Service Mussafah,2023-02-02,1,0,0,,
Keep going,positive,10,11575 Ali Musa,Nissan,NISSAN Service Mussafah,2023-02-02,1,0,0,,
Memtaze Crew,positive,10,Mohammed Fathi Osman,Nissan,NISSAN Service Airport Road,2023-02-02,1,0,0,,
"Reducing the prices of spare parts to keep pace with the market and not to overdo it 
Some parts do not need to be changed, but your agency is blessed to change them even if they are valid and not needed.
There will also be a small piece in part of a larger piece in the car 
For example, a small broken ball in the side mirror 
Your technician asked to change it for 5000 dirhams!!!!
I got it fixed outside your agency for 500 dirhams 

Look at the difference
I hope the prices are not exaggerated 
Thank you ",positive,3,12127 Marshood TP,Nissan,NISSAN Service Mussafah,2023-02-02,0,0,1,,
Communicate with customers and inform them of what happened in the maintenance service,negative,7,12127 Marshood TP,Nissan,NISSAN Service Mussafah,2023-02-02,0,1,0,,
Offer me the free collection and drop off of vehicle in the phone when I book the appointment and not when I have arrived with the vehicle (which is what happened this time). Thank you,negative,8,Harish Venugopalan,Nissan,NISSAN Service Airport Road,2023-02-02,0,1,0,,
Pricing is very expensive.,negative,10,11465 Mahmoud Wahhab,Infiniti,INFINITI Service Mussafah,2023-02-02,1,0,0,,
"They called me at 12:13 telling me the car is ready. They will start washing. I came at 2:00. They said the car is ready, just go to cashier and pay for taxi. I payed at 2:09. I waited for 45 minutes to get my car. They gave it to me at 2:55. No one came and explain. I requested to meet the supervisor and he did not came. The service advisor wasn‚Äôt around also. I left my mobile number, no one called me and explain the delay. This is absolutely not professional way to deal with customer. I always do Servise contract with Al Masaood. Since this was the last Servise, I decided not to renew and not to bring my car at all. Same of this complain will be sent to one of Al Masaood top management by whatsApp and will be posted in Google location review.",negative,0,Harish Venugopalan,Nissan,NISSAN Service Airport Road,2023-02-02,0,0,1,,
"I took my car to the service and they told the job needed a day i came by the next day and the car still didn‚Äôt finish now the fifth day waiting for the car and the car is new it has 30k miles,the customer service just gave me one miss call i wanted to pick up the phone suddenly the person hung up thank you for your cooperation",negative,1,Marla Nunez,Nissan,NISSAN Service Airport Road,2023-02-02,0,0,1,,
This is second service I tell you about the problem about parking sensor but havnt fixed plus the service cost a lot more than before,negative,6,Mohammed Fathi Osman,Nissan,NISSAN Service Airport Road,2023-02-03,0,0,1,,
"I am sorry to see your service reduced in quality and excellence
Al Masaood service has never been like this 
All maintenance, prices, accuracy of work and time should be explained
The person who received my car did not do what was required. He did not explain what was done and what additional maintenance the car needs ",negative,0,Harish Venugopalan,Nissan,NISSAN Service Airport Road,2023-02-03,0,0,1,,
Im not happy about the explanation given to me regarding the break down of my car also Al Masood didn't offer me car till my car fixed .... I will raise a complain in the consumer office on this,negative,4,Anandhakrishnan Nair,Nissan,NISSAN Service Airport Road,2023-02-03,0,0,1,,
Thanks to Mr. Ronaldo,positive,10,Ronaldo Padernos,Nissan,NISSAN Service Airport Road,2023-02-04,1,0,0,,
"Give customers choice on tyre brands - top end, mind level and value. Not only Bridgestone pls. The customer choice is a very important aspect of service quality. This should be built into the standard if AMA wants to achieve service excellence ",positive,8,11618Parag Laxmayyan,Nissan,NISSAN Service Mussafah,2023-02-04,0,1,0,,
Anand is the absolute best service advisor I have ever had the pleasure of conducting business with.,positive,10,Anandhakrishnan Nair,Nissan,NISSAN Service Airport Road,2023-02-04,1,0,0,,
Kindly provide VIP Services quality for the excellency people.,positive,8,11618Parag Laxmayyan,Nissan,NISSAN Service Mussafah,2023-02-04,0,1,0,,
Dates and price study because they are high,positive,10,13037 Abuthahir T.S.,Nissan,NISSAN Service Mussafah,2023-02-04,1,0,0,,
There is a cutting problem in the car..,positive,10,Nabeel Ambalavan,Nissan,NISSAN Service Airport Road,2023-02-04,1,0,0,,
I would like to extend my aporeciations to Mr. Kamal in the reception.,negative,10,Kamal Al Saber,Renault,RENAULT Service Mussafah,2023-02-04,1,0,0,,
